model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,small SUV,3,20,28,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,small SUV,3,19,27,22,4,No
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,small car,3,20,32,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,small car,3,21,30,24,5,No
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,small car,1,24,34,28,6,No
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,midsize car,3,17,24,20,4,No
AUDI A3,2.0,4,AMS-6,4WD,Gasoline,small car,7,24,31,27,6,No
AUDI A3,2.0,4,AMS-7,2WD,Gasoline,small car,7,26,35,29,6,No
AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,small car,7,22,30,25,5,No
AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,small car,7,25,33,28,6,No
AUDI A4,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
AUDI A4,2.0,4,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,small car,3,27,37,31,7,Yes
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
AUDI A5,2.0,4,Man-6,4WD,Gasoline,small car,3,24,33,27,6,No
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,small car,5,24,34,27,6,No
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,midsize car,5,24,34,27,6,No
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,midsize car,5,25,34,28,6,No
AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,midsize car,5,22,31,26,5,No
AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,midsize car,3,20,29,23,5,No
AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,large car,3,19,29,22,4,No
AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,small car,3,20,28,23,5,No
AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,small car,3,20,28,23,5,No
AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,small SUV,3,23,27,25,5,No
AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,25,21,4,No
AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,standard SUV,3,19,25,21,4,No
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,small car,3,19,28,22,4,No
AUDI S3,2.0,4,AMS-7,4WD,Gasoline,small car,3,22,28,25,5,No
AUDI S4,3.0,6,AMS-8,4WD,Gasoline,small car,5,21,30,24,5,No
AUDI S5,3.0,6,AMS-8,4WD,Gasoline,small car,5,21,30,24,5,No
AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,small car,5,20,29,23,5,No
AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,midsize car,5,21,30,24,5,No
AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,small SUV,5,19,24,21,4,No
